index,category,name,row,col,x0,y0,x1,y1,center_x,center_y
1,Race,Human,1,1,0,0,170,170,85.0,85.0
2,Race,Elf,1,2,170,0,340,170,255.0,85.0
3,Race,Dwarf,1,3,340,0,510,170,425.0,85.0
4,Race,Lizard,1,4,510,0,680,170,595.0,85.0
5,Race,Kobold,1,5,680,0,850,170,765.0,85.0
6,Race,Demon,1,6,850,0,1020,170,935.0,85.0
7,Race,Orc,2,1,0,170,170,340,85.0,255.0
8,Race,Ogre,2,2,170,170,340,340,255.0,255.0
9,Race,Gladefolk,2,3,340,170,510,340,425.0,255.0
10,Race,Half-Elf,2,4,510,170,680,340,595.0,255.0
11,Sub-race,High Elf,2,5,680,170,850,340,765.0,255.0
12,Sub-race,Dark Elf,2,6,850,170,1020,340,935.0,255.0
13,Sub-race,Forest Elf,3,1,0,340,170,510,85.0,425.0
14,Sub-race,Mountain Dwarf,3,2,170,340,340,510,255.0,425.0
15,Sub-race,Hill Dwarf,3,3,340,340,510,510,425.0,425.0
16,Sub-race,Swamp Lizard,3,4,510,340,680,510,595.0,425.0
17,Sub-race,Desert Lizard,3,5,680,340,850,510,765.0,425.0
18,Sub-race,Forest Lizard,3,6,850,340,1020,510,935.0,425.0
19,Sub-race,Fire Demon,4,1,0,510,170,680,85.0,595.0
20,Sub-race,Shadow Demon,4,2,170,510,340,680,255.0,595.0
21,Sub-race,Green Orc,4,3,340,510,510,680,425.0,595.0
22,Sub-race,Blue Orc,4,4,510,510,680,680,595.0,595.0
23,Sub-race,Red Orc,4,5,680,510,850,680,765.0,595.0
24,Sub-race,Mountain Ogre,4,6,850,510,1020,680,935.0,595.0
25,Sub-race,Hill Ogre,5,1,0,680,170,850,85.0,765.0
26,Sub-race,Desert Ogre,5,2,170,680,340,850,255.0,765.0
27,Sub-race,Forest Ogre,5,3,340,680,510,850,425.0,765.0
28,Sub-race,Forest Gladefolk,5,4,510,680,680,850,595.0,765.0
29,Sub-race,Hill Gladefolk,5,5,680,680,850,850,765.0,765.0
30,Sub-race,Half-High-Elf,5,6,850,680,1020,850,935.0,765.0
31,Sub-race,Half-Wood-Elf,6,1,0,850,170,1020,85.0,935.0
32,Class,Barbarian,6,2,170,850,340,1020,255.0,935.0
33,Class,Knight,6,3,340,850,510,1020,425.0,935.0
34,Class,Paladin,6,4,510,850,680,1020,595.0,935.0
35,Class,Priest,6,5,680,850,850,1020,765.0,935.0
36,Class,Mage,6,6,850,850,1020,1020,935.0,935.0
37,Class,Bard,7,1,0,1020,170,1190,85.0,1105.0
38,Class,Fighter,7,2,170,1020,340,1190,255.0,1105.0
39,Class,Rogue,7,3,340,1020,510,1190,425.0,1105.0
40,Class,Druid,7,4,510,1020,680,1190,595.0,1105.0
41,Class,Ranger,7,5,680,1020,850,1190,765.0,1105.0
42,Deity,Heaven,7,6,850,1020,1020,1190,935.0,1105.0
43,Deity,Star,8,1,0,1190,170,1360,85.0,1275.0
44,Deity,Constellations,8,2,170,1190,340,1360,255.0,1275.0
45,Deity,Moon,8,3,340,1190,510,1360,425.0,1275.0
46,Deity,Fire,8,4,510,1190,680,1360,595.0,1275.0
47,Deity,Darkness,8,5,680,1190,850,1360,765.0,1275.0
48,Deity,Smoke,8,6,850,1190,1020,1360,935.0,1275.0
49,Deity,Shadow,9,1,0,1360,170,1530,85.0,1445.0
